System Information:
Processor: 13th Gen Intel(R) Core(TM) i9-13900KF, 32 cores
GPU: NVIDIA GeForce RTX 4090, 24142 MB
RAM: 65225 MB
Operating System: Windows 11  (10.0.22631) 64bit
TIME    FPS    MB   FRAMERATE(ms)   NPCcount  
675,81   75   626,63   13   440
680,83   64   630,90   16   443
685,84   62   634,45   16   446
690,86   67   638,24   15   449
695,86   66   642,20   15   452
700,87   64   645,92   16   455
705,87   72   649,60   14   458
710,87   67   653,37   15   461
715,88   64   657,39   16   464
720,88   66   661,48   15   467
725,89   62   665,36   16   470
730,89   64   669,67   16   473
735,90   61   673,48   16   476
740,91   60   677,43   17   479
745,92   56   681,24   18   482
750,93   56   685,03   18   485
755,93   65   688,90   15   488
760,94   64   692,81   16   491
765,94   62   696,94   16   494
770,95   60   700,90   17   497
775,96   61   704,85   16   500
780,96   60   708,68   17   503
785,97   63   712,40   16   506
790,98   63   716,26   16   509
795,99   60   720,18   17   512
801,00   62   725,02   16   515
806,02   61   728,96   16   518
811,02   59   733,11   17   521
816,04   56   737,05   18   524
821,06   56   740,91   18   527
826,07   57   744,83   17   530
831,08   60   748,67   17   533
836,08   56   752,63   18   536
841,10   55   756,49   18   539
846,11   56   760,00   18   542
851,12   57   765,85   17   545
856,14   56   769,59   18   548
861,15   53   773,27   19   551
866,16   59   776,82   17   554
871,17   55   780,17   18   557
876,17   55   784,23   18   560
881,17   50   788,36   20   563
886,18   52   792,90   19   566
891,18   51   797,63   20   569
896,19   53   802,60   19   572
901,20   50   807,51   20   575
906,21   54   812,12   19   578
911,23   52   816,94   19   581
916,23   51   821,59   20   584
921,25   49   826,28   20   587
926,25   50   830,91   20   590
931,26   47   835,51   21   593
936,27   51   839,98   19   596
941,29   51   844,78   20   599
946,29   52   849,23   19   602
951,29   53   854,00   19   605
956,30   48   858,69   21   608
961,32   48   863,59   21   611
966,35   47   867,99   21   614
971,35   52   872,79   19   617
976,37   51   877,45   20   620
981,38   48   882,19   21   623
986,38   45   887,33   22   626
991,39   52   892,14   19   629
996,39   51   897,14   20   632
1001,40   43   902,30   23   635
1006,40   48   908,18   21   638
1011,42   46   914,00   22   641
1016,43   46   920,15   22   644
1021,43   45   926,41   22   647
1026,45   46   932,33   22   650
1031,47   45   938,48   22   653
1036,48   45   944,57   22   656
1041,49   44   950,35   23   659
1046,50   43   956,40   23   662
1051,50   46   962,24   22   665
1056,51   45   968,17   22   668
1061,52   44   974,33   23   671
1066,54   42   980,71   24   674
1071,54   45   987,45   22   677
1076,55   45   994,44   22   680
1081,58   41   1001,94   24   683
1086,60   47   1009,37   21   686
1091,61   40   1017,09   25   689
1096,63   40   1025,00   25   692
1101,65   41   1032,48   24   695
1106,65   43   1040,42   24   698
1111,67   45   1047,92   22   701
1116,69   42   1055,51   24   704
1121,69   42   1063,15   24   707
1126,71   42   1070,72   24   710
1131,73   43   1084,19   23   713
1136,75   41   1091,91   25   716
1141,75   42   1099,32   24   719
1146,77   38   1106,68   27   722
1151,81   41   1113,86   25   725
1156,82   42   1121,07   24   728
1161,84   39   1128,71   26   731
1166,86   38   1135,82   27   734
1171,86   40   1143,38   25   737
1176,89   39   1150,78   26   740
1181,91   40   1158,16   25   743
1186,92   39   1165,98   26   746
1191,93   40   1173,65   25   749
1196,94   41   1181,35   24   752
1201,97   38   1189,37   26   755
1206,98   41   1196,89   24   758
1212,00   39   1205,06   26   761
1217,01   36   1212,76   28   764
1222,02   38   1220,19   26   767
1227,05   38   1228,32   27   770
1232,06   37   1236,00   27   773
1237,08   37   1244,58   27   776
1242,08   34   1252,59   29   779
1247,11   37   1262,43   27   782
1252,12   38   1270,52   26   785
1257,14   37   1278,73   27   788
1262,16   39   1286,75   26   791
1267,18   35   1295,26   29   794
1272,19   35   1303,07   29   797
1277,21   35   1311,15   29   800
1282,21   35   1319,27   29   803
1287,25   34   1327,18   29   806
1292,25   36   1335,25   28   809
1297,25   34   1343,63   29   812
1302,28   36   1351,92   28   815
1307,29   34   1360,66   29   818
1312,30   34   1369,73   30   821
1317,32   33   1378,60   30   824
1322,34   35   1388,01   28   827
1327,35   32   1397,22   31   830
1332,35   33   1406,61   30   833
1337,35   32   1415,68   31   836
1342,38   33   1424,65   31   839
1347,40   33   1433,34   30   842
1352,42   34   1442,34   30   845
1357,42   31   1451,26   33   848
1362,44   33   1460,35   30   851
1367,45   33   1469,06   30   854
1372,47   30   1478,40   33   857
1377,47   33   1487,34   30   860
1382,49   33   1496,00   31   863
1387,51   34   1505,12   29   866
1392,53   31   1514,56   33   869
1397,55   31   1523,30   32   872
1402,57   31   1532,85   32   875
1407,59   34   1541,80   30   878
1412,63   30   1551,45   33   881
1417,64   32   1560,68   31   884
1422,65   31   1570,31   32   887
1427,66   30   1579,75   33   890
1432,66   32   1591,21   31   893
1437,70   30   1600,65   33   896
1442,72   30   1610,06   33   899
1447,74   30   1619,39   33   902
1452,75   31   1629,02   32   905
1457,77   32   1638,07   31   908
1462,79   29   1647,60   34   911
1467,80   28   1656,74   36   914
1472,82   31   1666,17   33   917
1477,85   30   1675,43   33   920
1482,87   29   1684,71   34   923
1487,88   30   1694,12   34   926
1492,91   27   1703,24   38   929
1497,91   29   1712,46   35   932
1502,93   28   1723,64   35   935
1507,94   31   1733,41   32   938
1512,96   30   1743,83   33   941
1517,96   29   1753,93   34   944
1523,01   27   1763,50   38   947
1528,03   25   1769,89   40   950
1533,05   26   1779,60   39   953
1538,05   25   1788,77   39   956
1543,07   25   1798,47   40   959
1548,11   27   1808,24   38   962
1553,14   27   1818,22   37   965
1558,15   29   1828,88   34   968
1563,19   27   1839,63   37   971
1568,20   28   1849,33   36   974
1573,21   27   1859,64   36   977
1578,23   27   1869,60   37   980
1583,23   29   1879,46   35   983
1588,25   26   1890,27   39   986
1593,25   26   1900,01   39   989
1598,28   28   1910,25   35   992
1603,30   29   1920,76   35   995
1608,35   27   1930,77   37   998
1613,37   27   1941,46   38   1001
1618,37   26   1952,00   39   1004
1623,40   25   1962,84   40   1007
